source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[culture vessel]	characteristics[bile salt composition]	characteristics[culturing time]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[culture vessel]	factor value[bile salt composition]	factor value[culturing time]
Sample29	Sample29	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	not available	not available	2 day	1	Assay29	proteomic profiling by mass spectrometry	3	Leyuan20190121_CulturingTimeTest_2d_V4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	2 day
Sample30	Sample30	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	2	Assay30	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WS2_170411202424.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample31	Sample31	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	not applicable	not applicable	0 h	1	Assay31	proteomic profiling by mass spectrometry	2	Leyuan_20170411_96WellValidation_0hA2.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample32	Sample32	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	1	Assay32	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_TP1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample33	Sample33	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	not available	not available	1 day	1	Assay33	proteomic profiling by mass spectrometry	3	Leyuan20190121_CulturingTimeTest_1d_V4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	1 day
Sample34	Sample34	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	not applicable	not applicable	0 h	1	Assay34	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_0hA1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample35	Sample35	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	not applicable	not applicable	0 h	2	Assay35	proteomic profiling by mass spectrometry	3	Leyuan_20170411_96WellValidation_0hB3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample36	Sample36	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	2	Assay36	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_TP2.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample37	Sample37	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	not available	not available	0 day	1	Assay37	proteomic profiling by mass spectrometry	1	Leyuan20190121_CulturingTimeTest_0d_V4_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	0 day
Sample38	Sample38	NT=human gut metagenome;AC=NCBITaxon:408170	NT=feces;AC=UBERON:0001988	not applicable	not applicable	PXD013600	NT=fecal material;AC=ENVO:00002003	NT=Canada;AC=GAZ:00002560	human gut microbiome	NT=Homo sapiens;AC=NCBITaxon:9606	NT=feces;AC=UBERON:0001988	not available	not available	3 day	1	Assay38	proteomic profiling by mass spectrometry	1	Leyuan20190121_CulturingTimeTest_3d_V4_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	3 day
