source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
vein_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=vein;AC=UBERON:0001638	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	1	run_34	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_038.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vein;AC=UBERON:0001638
skin_of_body_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=skin of body;AC=UBERON:0002097	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_35	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_039.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=skin of body;AC=UBERON:0002097
intestine_H1NA	NT=Equus caballus;AC=NCBITaxon:9796	NT=intestine;AC=UBERON:0000160	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H1NA	tissue	1	run_36	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_041.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
synovial_membrane_of_synovial_joint_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial membrane of synovial joint;AC=UBERON:0002018	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_37	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_042.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial membrane of synovial joint;AC=UBERON:0002018
synovial_membrane_of_synovial_joint_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial membrane of synovial joint;AC=UBERON:0002018	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_38	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	Emma_M1810_043.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial membrane of synovial joint;AC=UBERON:0002018
cartilage_tissue_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=cartilage tissue;AC=UBERON:0002418	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_39	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_044.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=cartilage tissue;AC=UBERON:0002418	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_40	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	Emma_M1810_048.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H3OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=cartilage tissue;AC=UBERON:0002418	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H3OA	tissue	2	run_41	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_107.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H4OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=cartilage tissue;AC=UBERON:0002418	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H4OA	tissue	3	run_42	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_108.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H5OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=cartilage tissue;AC=UBERON:0002418	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H5OA	tissue	4	run_43	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_110.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H9OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=cartilage tissue;AC=UBERON:0002418	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H9OA	tissue	5	run_44	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1910_210.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_45	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_049.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_46	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	Emma_M1810_054.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_47	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	3	Emma_M1810_055.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_48	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	4	Emma_M1810_057.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_49	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	5	Emma_M1810_058.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_50	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	6	Emma_M1810_059.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_51	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	7	Emma_M1810_116.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_52	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	8	Emma_M1810_117.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_53	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	9	Emma_M1810_118.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H2NA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2NA	tissue	2	run_54	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_095.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H3NA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3NA	tissue	3	run_55	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_096.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H4NA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4NA	tissue	4	run_56	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_101.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H4NA	NT=Equus caballus;AC=NCBITaxon:9796	NT=synovial fluid;AC=UBERON:0001090	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4NA	tissue	4	run_57	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	Emma_M1810_102.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
blood_plasma_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_58	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_060.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_59	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	Emma_M1810_081.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_60	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	3	Emma_M1810_082.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_61	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	4	Emma_M1910_212.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H1OA	tissue	1	run_62	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	5	Emma_M1910_213.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	2	run_63	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_083.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	3	run_64	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_084.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood plasma;AC=UBERON:0001969	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	4	run_65	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_086.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
